acc	entry	protein	gene	organism	taxid	length	ec_list	pfam_list	interpro_list	pdb_list	go_mf	go_bp	reviewed	xref_cazy	xref_esther
G8GER6	PETH1_THEFU	Cutinase cut1 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	cut_1	Thermobifida fusca (Thermomonospora fusca)	2021	319	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;		acetylesterase activity [GO:0008126]; cutinase activity [GO:0050525]		reviewed		Polyesterase-lipase-cutinase
P52956	CUTI1_ASPOR	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1) (L1)	cutL1	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	510516	213	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;	3GBS;3QPD;	cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]; lipid catabolic process [GO:0016042]	reviewed		Cutinase
Q5AVY9	CUTI2_EMENI	Cutinase 2 (EC 3.1.1.74) (Ancut2) (Cutin hydrolase 2)	cut2	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	255	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;		cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
Q6A0I4	PETH2_THEFU	Cutinase cut2 (TfCut2) (EC 3.1.1.74) (Acetylxylan esterase) (BTA-hydrolase 1) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	cut2	Thermobifida fusca (Thermomonospora fusca)	2021	301	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;	4CG1;4CG2;4CG3;5ZOA;7QJQ;7QJR;	cutinase activity [GO:0050525]		reviewed		Polyesterase-lipase-cutinase
P10951	CUTI_COLTU	Cutinase (EC 3.1.1.74) (Cutin hydrolase)	CUTA	Colletotrichum truncatum (Anthracnose fungus) (Colletotrichum capsici)	5467	228	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;		cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
Q00298	CUTI_BOTFU	Cutinase (EC 3.1.1.74) (Cutin hydrolase)	cutA	Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea)	40559	202	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;		cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
B9U443	CUTI1_COPCI	Cutinase CUT1 (EC 3.1.1.74) (CcCUT1)	CUT1	Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata)	5346	199	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR011150;		cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
E9LVH8	PETH1_THECS	Cutinase 1 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	cut1	Thermobifida cellulosilytica	144786	262	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;	5LUI;	cutinase activity [GO:0050525]		reviewed		Polyesterase-lipase-cutinase
A8QPD8	CUTI1_TRIHA	Cutinase cut1 (EC 3.1.1.74) (Thcut1)	cut1	Trichoderma harzianum (Hypocrea lixii)	5544	248	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;		cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
D4Q9N1	PETH1_THEAE	Cutinase est1 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	est1	Thermobifida alba (Thermomonospora alba)	53522	296	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;		cutinase activity [GO:0050525]		reviewed		Polyesterase-lipase-cutinase
G4MZV6	CUTI2_PYRO7	Cutinase CUT2 (EC 3.1.1.74)	CUT2	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	242507	214	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;		cutinase activity [GO:0050525]	appressorium-mediated entry into host [GO:0120326]; carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
P86010	CUTI1_COLKA	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1)		Colletotrichum kahawae (Coffee berry disease fungus)	34407	7	3.1.1.74				cutinase activity [GO:0050525]		reviewed		
Q47RJ7	PETH1_THEFY	Cutinase (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)		Thermobifida fusca (strain YX)	269800	319	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;		cutinase activity [GO:0050525]; triacylglycerol lipase activity [GO:0004806]		reviewed		Polyesterase-lipase-cutinase
Q5AX00	CUTI3_EMENI	Cutinase 3 (EC 3.1.1.74) (Ancut3) (Cutin hydrolase 3)	cut3	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	221	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;		cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
Q9Y7G8	CUTI_PYRBR	Cutinase pbc1 (EC 3.1.1.74) (Cutin hydrolase)	pbc1	Pyrenopeziza brassicae	76659	203	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR011150;		cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]; symbiont entry into host [GO:0044409]	reviewed		Cutinase
